FIPS,clusters
1001,cluster_3
1003,cluster_3
1005,cluster_3
1007,cluster_3
1009,cluster_3
1011,cluster_2
1013,cluster_3
1015,cluster_3
1017,cluster_3
1019,cluster_3
1021,cluster_3
1023,cluster_3
1025,cluster_3
1027,cluster_3
1029,cluster_3
1031,cluster_3
1033,cluster_3
1035,cluster_3
1037,cluster_3
1039,cluster_3
1041,cluster_3
1043,cluster_3
1045,cluster_3
1047,cluster_2
1049,cluster_3
1051,cluster_3
1053,cluster_3
1055,cluster_3
1057,cluster_3
1059,cluster_3
1061,cluster_3
1063,cluster_2
1065,cluster_3
1067,cluster_3
1069,cluster_3
1071,cluster_3
1073,cluster_3
1075,cluster_3
1077,cluster_3
1079,cluster_3
1081,cluster_3
1083,cluster_3
1085,cluster_2
1087,cluster_2
1089,cluster_3
1091,cluster_3
1093,cluster_3
1095,cluster_3
1097,cluster_3
1099,cluster_3
1101,cluster_3
1103,cluster_3
1105,cluster_2
1107,cluster_3
1109,cluster_3
1111,cluster_3
1113,cluster_3
1115,cluster_3
1117,cluster_3
1119,cluster_2
1121,cluster_3
1123,cluster_3
1125,cluster_3
1127,cluster_3
1129,cluster_3
1131,cluster_2
1133,cluster_3
2013,cluster_8
2016,cluster_8
2020,cluster_8
2050,cluster_4
2060,cluster_8
2068,cluster_5
2070,cluster_4
2090,cluster_8
2100,cluster_8
2110,cluster_8
2122,cluster_8
2130,cluster_8
2150,cluster_8
2164,cluster_4
2170,cluster_8
2180,cluster_4
2185,cluster_8
2188,cluster_4
2220,cluster_8
2240,cluster_8
2261,cluster_8
2282,cluster_8
2290,cluster_4
4001,cluster_8
4003,cluster_8
4005,cluster_8
4007,cluster_8
4009,cluster_8
4011,cluster_8
4012,cluster_8
4013,cluster_8
4015,cluster_8
4017,cluster_8
4019,cluster_8
4021,cluster_8
4023,cluster_8
4025,cluster_8
4027,cluster_8
5001,cluster_8
5003,cluster_8
5005,cluster_8
5007,cluster_8
5009,cluster_8
5011,cluster_8
5013,cluster_8
5015,cluster_8
5017,cluster_8
5019,cluster_8
5021,cluster_8
5023,cluster_8
5025,cluster_8
5027,cluster_8
5029,cluster_8
5031,cluster_8
5033,cluster_8
5035,cluster_8
5037,cluster_8
5039,cluster_8
5041,cluster_8
5043,cluster_8
5045,cluster_8
5047,cluster_8
5049,cluster_8
5051,cluster_8
5053,cluster_8
5055,cluster_8
5057,cluster_8
5059,cluster_8
5061,cluster_8
5063,cluster_8
5065,cluster_8
5067,cluster_8
5069,cluster_8
5071,cluster_8
5073,cluster_8
5075,cluster_8
5077,cluster_8
5079,cluster_8
5081,cluster_8
5083,cluster_8
5085,cluster_8
5087,cluster_8
5089,cluster_8
5091,cluster_8
5093,cluster_8
5095,cluster_8
5097,cluster_8
5099,cluster_8
5101,cluster_8
5103,cluster_8
5105,cluster_8
5107,cluster_8
5109,cluster_8
5111,cluster_8
5113,cluster_8
5115,cluster_8
5117,cluster_8
5119,cluster_8
5121,cluster_8
5123,cluster_8
5125,cluster_8
5127,cluster_8
5129,cluster_8
5131,cluster_8
5133,cluster_8
5135,cluster_8
5137,cluster_8
5139,cluster_8
5141,cluster_8
5143,cluster_8
5145,cluster_8
5147,cluster_8
5149,cluster_8
6001,cluster_6
6003,cluster_6
6005,cluster_6
6007,cluster_6
6009,cluster_6
6011,cluster_6
6013,cluster_6
6015,cluster_6
6017,cluster_6
6019,cluster_6
6021,cluster_6
6023,cluster_6
6025,cluster_6
6027,cluster_6
6029,cluster_6
6031,cluster_6
6033,cluster_6
6035,cluster_6
6037,cluster_6
6039,cluster_6
6041,cluster_6
6043,cluster_6
6045,cluster_6
6047,cluster_6
6049,cluster_6
6051,cluster_6
6053,cluster_6
6055,cluster_6
6057,cluster_6
6059,cluster_6
6061,cluster_6
6063,cluster_6
6065,cluster_6
6067,cluster_6
6069,cluster_6
6071,cluster_6
6073,cluster_6
6075,cluster_6
6077,cluster_6
6079,cluster_6
6081,cluster_6
6083,cluster_6
6085,cluster_6
6087,cluster_6
6089,cluster_6
6091,cluster_5
6093,cluster_6
6095,cluster_6
6097,cluster_6
6099,cluster_6
6101,cluster_6
6103,cluster_6
6105,cluster_6
6107,cluster_6
6109,cluster_6
6111,cluster_6
6113,cluster_6
6115,cluster_6
8001,cluster_6
8003,cluster_6
8005,cluster_6
8007,cluster_6
8009,cluster_6
8011,cluster_6
8013,cluster_6
8015,cluster_6
8017,cluster_6
8019,cluster_6
8021,cluster_6
8023,cluster_5
8025,cluster_6
8027,cluster_6
8029,cluster_6
8031,cluster_6
8033,cluster_5
8035,cluster_6
8037,cluster_6
8039,cluster_6
8041,cluster_6
8043,cluster_6
8045,cluster_6
8047,cluster_6
8049,cluster_6
8051,cluster_6
8053,cluster_6
8055,cluster_6
8057,cluster_6
8059,cluster_6
8061,cluster_5
8063,cluster_6
8065,cluster_6
8067,cluster_6
8069,cluster_6
8071,cluster_6
8073,cluster_6
8075,cluster_6
8077,cluster_6
8079,cluster_6
8081,cluster_6
8083,cluster_6
8085,cluster_6
8087,cluster_6
8089,cluster_6
8091,cluster_6
8093,cluster_6
8095,cluster_6
8097,cluster_6
8099,cluster_6
8101,cluster_6
8103,cluster_6
8105,cluster_6
8107,cluster_6
8109,cluster_6
8111,cluster_5
8113,cluster_6
8115,cluster_6
8117,cluster_6
8119,cluster_6
8121,cluster_6
8123,cluster_6
8125,cluster_6
9001,cluster_6
9003,cluster_6
9005,cluster_6
9007,cluster_6
9009,cluster_6
9011,cluster_6
9013,cluster_6
9015,cluster_6
10001,cluster_8
10003,cluster_8
10005,cluster_8
11001,cluster_6
12001,cluster_6
12003,cluster_8
12005,cluster_8
12007,cluster_8
12009,cluster_6
12011,cluster_6
12013,cluster_8
12015,cluster_6
12017,cluster_6
12019,cluster_6
12021,cluster_6
12023,cluster_8
12027,cluster_8
12029,cluster_8
12031,cluster_6
12033,cluster_8
12035,cluster_6
12037,cluster_8
12039,cluster_8
12041,cluster_8
12043,cluster_8
12045,cluster_8
12047,cluster_8
12049,cluster_8
12051,cluster_8
12053,cluster_6
12055,cluster_8
12057,cluster_6
12059,cluster_8
12061,cluster_6
12063,cluster_8
12065,cluster_8
12067,cluster_8
12069,cluster_8
12071,cluster_6
12073,cluster_6
12075,cluster_8
12077,cluster_8
12079,cluster_8
12081,cluster_6
12083,cluster_8
12085,cluster_6
12086,cluster_6
12087,cluster_6
12089,cluster_6
12091,cluster_6
12093,cluster_8
12095,cluster_6
12097,cluster_8
12099,cluster_6
12101,cluster_8
12103,cluster_6
12105,cluster_8
12107,cluster_8
12109,cluster_6
12111,cluster_8
12113,cluster_6
12115,cluster_6
12117,cluster_6
12119,cluster_6
12121,cluster_8
12123,cluster_8
12125,cluster_8
12127,cluster_8
12129,cluster_8
12131,cluster_6
12133,cluster_8
13001,cluster_8
13003,cluster_8
13005,cluster_8
13007,cluster_8
13009,cluster_8
13011,cluster_8
13013,cluster_8
13015,cluster_8
13017,cluster_8
13019,cluster_8
13021,cluster_8
13023,cluster_8
13025,cluster_8
13027,cluster_8
13029,cluster_7
13031,cluster_8
13033,cluster_8
13035,cluster_8
13037,cluster_8
13039,cluster_8
13043,cluster_8
13045,cluster_8
13047,cluster_8
13049,cluster_8
13051,cluster_8
13053,cluster_7
13055,cluster_8
13057,cluster_7
13059,cluster_8
13061,cluster_8
13063,cluster_8
13065,cluster_8
13067,cluster_8
13069,cluster_8
13071,cluster_8
13073,cluster_7
13075,cluster_8
13077,cluster_7
13079,cluster_8
13081,cluster_8
13083,cluster_8
13085,cluster_8
13087,cluster_8
13089,cluster_8
13091,cluster_8
13093,cluster_8
13095,cluster_8
13097,cluster_8
13099,cluster_8
13101,cluster_8
13103,cluster_8
13105,cluster_8
13107,cluster_8
13109,cluster_8
13111,cluster_8
13113,cluster_7
13115,cluster_8
13117,cluster_7
13119,cluster_8
13121,cluster_8
13123,cluster_8
13125,cluster_7
13127,cluster_8
13129,cluster_8
13131,cluster_8
13133,cluster_8
13135,cluster_8
13137,cluster_8
13139,cluster_8
13141,cluster_8
13143,cluster_8
13145,cluster_8
13147,cluster_8
13149,cluster_8
13151,cluster_8
13153,cluster_8
13155,cluster_8
13157,cluster_8
13159,cluster_8
13161,cluster_8
13163,cluster_8
13165,cluster_8
13167,cluster_8
13169,cluster_8
13171,cluster_8
13173,cluster_8
13175,cluster_8
13177,cluster_7
13179,cluster_8
13181,cluster_8
13183,cluster_8
13185,cluster_8
13187,cluster_8
13189,cluster_8
13191,cluster_8
13193,cluster_8
13195,cluster_8
13197,cluster_8
13199,cluster_8
13201,cluster_8
13205,cluster_8
13207,cluster_8
13209,cluster_8
13211,cluster_8
13213,cluster_8
13215,cluster_8
13217,cluster_8
13219,cluster_7
13221,cluster_8
13223,cluster_7
13225,cluster_8
13227,cluster_8
13229,cluster_8
13231,cluster_8
13233,cluster_8
13235,cluster_8
13237,cluster_8
13239,cluster_8
13241,cluster_8
13243,cluster_8
13245,cluster_8
13247,cluster_8
13249,cluster_8
13251,cluster_8
13253,cluster_8
13255,cluster_8
13257,cluster_8
13259,cluster_8
13261,cluster_8
13263,cluster_8
13265,cluster_8
13267,cluster_8
13269,cluster_8
13271,cluster_8
13273,cluster_8
13275,cluster_8
13277,cluster_8
13279,cluster_8
13281,cluster_8
13283,cluster_8
13285,cluster_8
13287,cluster_8
13289,cluster_8
13291,cluster_8
13293,cluster_8
13295,cluster_8
13297,cluster_8
13299,cluster_8
13301,cluster_8
13303,cluster_8
13305,cluster_8
13307,cluster_8
13309,cluster_8
13313,cluster_8
13315,cluster_8
13317,cluster_8
13319,cluster_8
13321,cluster_8
15001,cluster_6
15003,cluster_6
15007,cluster_6
15009,cluster_6
16001,cluster_3
16003,cluster_3
16005,cluster_3
16007,cluster_3
16009,cluster_3
16011,cluster_3
16013,cluster_3
16015,cluster_5
16017,cluster_3
16019,cluster_3
16021,cluster_3
16023,cluster_3
16025,cluster_5
16027,cluster_3
16029,cluster_3
16031,cluster_3
16033,cluster_5
16035,cluster_3
16037,cluster_3
16039,cluster_3
16041,cluster_3
16043,cluster_3
16045,cluster_3
16047,cluster_3
16049,cluster_3
16051,cluster_3
16053,cluster_3
16055,cluster_3
16057,cluster_3
16059,cluster_3
16061,cluster_3
16063,cluster_5
16065,cluster_3
16067,cluster_3
16069,cluster_3
16071,cluster_3
16073,cluster_3
16075,cluster_3
16077,cluster_3
16079,cluster_3
16081,cluster_3
16083,cluster_3
16085,cluster_3
16087,cluster_3
17001,cluster_6
17003,cluster_8
17005,cluster_6
17007,cluster_6
17009,cluster_6
17011,cluster_6
17013,cluster_6
17015,cluster_6
17017,cluster_6
17019,cluster_6
17021,cluster_6
17023,cluster_6
17025,cluster_6
17027,cluster_6
17029,cluster_6
17031,cluster_6
17033,cluster_6
17037,cluster_6
17039,cluster_6
17041,cluster_6
17043,cluster_6
17045,cluster_6
17047,cluster_6
17049,cluster_6
17051,cluster_6
17053,cluster_6
17055,cluster_6
17057,cluster_6
17059,cluster_5
17061,cluster_6
17063,cluster_6
17065,cluster_6
17067,cluster_6
17069,cluster_6
17071,cluster_6
17073,cluster_6
17075,cluster_6
17077,cluster_6
17079,cluster_6
17081,cluster_6
17083,cluster_6
17085,cluster_6
17087,cluster_6
17089,cluster_6
17091,cluster_6
17093,cluster_6
17095,cluster_6
17097,cluster_6
17099,cluster_6
17101,cluster_6
17103,cluster_6
17105,cluster_6
17107,cluster_6
17109,cluster_6
17111,cluster_6
17113,cluster_6
17115,cluster_6
17117,cluster_6
17119,cluster_6
17121,cluster_6
17123,cluster_6
17125,cluster_6
17127,cluster_6
17129,cluster_6
17131,cluster_6
17133,cluster_6
17135,cluster_6
17137,cluster_6
17139,cluster_6
17141,cluster_6
17143,cluster_6
17145,cluster_6
17147,cluster_6
17149,cluster_6
17151,cluster_6
17153,cluster_8
17155,cluster_6
17157,cluster_6
17159,cluster_6
17161,cluster_6
17163,cluster_8
17165,cluster_6
17167,cluster_6
17169,cluster_6
17171,cluster_6
17173,cluster_6
17175,cluster_6
17177,cluster_6
17179,cluster_6
17181,cluster_6
17183,cluster_6
17185,cluster_6
17187,cluster_6
17189,cluster_6
17191,cluster_6
17193,cluster_6
17195,cluster_6
17197,cluster_6
17199,cluster_6
17201,cluster_6
17203,cluster_6
18001,cluster_7
18003,cluster_7
18005,cluster_7
18007,cluster_7
18009,cluster_7
18011,cluster_7
18013,cluster_7
18015,cluster_7
18017,cluster_7
18019,cluster_7
18021,cluster_7
18023,cluster_7
18025,cluster_7
18027,cluster_7
18029,cluster_7
18031,cluster_7
18033,cluster_7
18035,cluster_7
18037,cluster_7
18039,cluster_7
18041,cluster_7
18043,cluster_7
18045,cluster_7
18047,cluster_7
18049,cluster_7
18051,cluster_7
18053,cluster_7
18055,cluster_7
18057,cluster_6
18059,cluster_7
18061,cluster_7
18063,cluster_7
18065,cluster_7
18067,cluster_7
18069,cluster_7
18071,cluster_7
18073,cluster_7
18075,cluster_7
18077,cluster_7
18079,cluster_7
18081,cluster_7
18083,cluster_7
18085,cluster_7
18087,cluster_7
18089,cluster_7
18091,cluster_7
18093,cluster_7
18095,cluster_7
18097,cluster_7
18099,cluster_7
18101,cluster_7
18103,cluster_7
18105,cluster_7
18107,cluster_7
18109,cluster_7
18111,cluster_7
18113,cluster_7
18117,cluster_7
18119,cluster_7
18121,cluster_7
18123,cluster_7
18125,cluster_7
18127,cluster_7
18129,cluster_7
18131,cluster_7
18133,cluster_7
18135,cluster_7
18137,cluster_7
18139,cluster_7
18141,cluster_7
18143,cluster_7
18145,cluster_7
18147,cluster_7
18149,cluster_7
18151,cluster_7
18153,cluster_7
18155,cluster_7
18157,cluster_7
18159,cluster_7
18163,cluster_7
18165,cluster_7
18167,cluster_7
18169,cluster_7
18171,cluster_7
18173,cluster_7
18175,cluster_7
18177,cluster_7
18179,cluster_7
18181,cluster_7
18183,cluster_7
19001,cluster_7
19003,cluster_7
19005,cluster_7
19007,cluster_7
19009,cluster_7
19011,cluster_7
19013,cluster_7
19015,cluster_7
19017,cluster_7
19019,cluster_7
19021,cluster_7
19023,cluster_7
19025,cluster_7
19027,cluster_7
19029,cluster_7
19031,cluster_7
19033,cluster_7
19035,cluster_7
19037,cluster_7
19039,cluster_7
19041,cluster_7
19043,cluster_7
19045,cluster_7
19047,cluster_7
19049,cluster_7
19051,cluster_7
19053,cluster_7
19055,cluster_7
19057,cluster_7
19059,cluster_7
19061,cluster_7
19063,cluster_7
19065,cluster_7
19067,cluster_7
19069,cluster_7
19071,cluster_7
19073,cluster_7
19075,cluster_7
19077,cluster_7
19079,cluster_7
19081,cluster_7
19083,cluster_7
19085,cluster_7
19087,cluster_7
19089,cluster_7
19091,cluster_7
19093,cluster_7
19095,cluster_7
19097,cluster_7
19099,cluster_7
19101,cluster_7
19103,cluster_7
19105,cluster_7
19107,cluster_7
19109,cluster_7
19111,cluster_7
19113,cluster_7
19115,cluster_7
19117,cluster_7
19119,cluster_7
19121,cluster_7
19123,cluster_7
19125,cluster_7
19127,cluster_7
19129,cluster_7
19131,cluster_7
19133,cluster_7
19135,cluster_7
19137,cluster_7
19139,cluster_7
19141,cluster_7
19143,cluster_7
19145,cluster_7
19147,cluster_7
19149,cluster_7
19151,cluster_7
19153,cluster_7
19155,cluster_7
19157,cluster_7
19159,cluster_7
19161,cluster_7
19163,cluster_7
19165,cluster_7
19167,cluster_7
19169,cluster_7
19171,cluster_7
19173,cluster_7
19175,cluster_7
19177,cluster_7
19179,cluster_7
19181,cluster_7
19183,cluster_7
19185,cluster_7
19187,cluster_7
19189,cluster_7
19191,cluster_7
19193,cluster_7
19195,cluster_7
19197,cluster_7
20001,cluster_3
20003,cluster_3
20005,cluster_3
20007,cluster_3
20009,cluster_3
20011,cluster_3
20013,cluster_3
20015,cluster_3
20017,cluster_5
20019,cluster_3
20021,cluster_3
20023,cluster_3
20025,cluster_5
20027,cluster_3
20029,cluster_3
20031,cluster_3
20033,cluster_3
20035,cluster_3
20037,cluster_3
20039,cluster_3
20041,cluster_3
20043,cluster_3
20045,cluster_3
20047,cluster_3
20049,cluster_5
20051,cluster_3
20053,cluster_3
20055,cluster_3
20057,cluster_3
20059,cluster_3
20061,cluster_3
20063,cluster_3
20065,cluster_3
20067,cluster_3
20069,cluster_3
20071,cluster_5
20073,cluster_3
20075,cluster_5
20077,cluster_3
20079,cluster_3
20081,cluster_5
20083,cluster_3
20085,cluster_3
20087,cluster_3
20089,cluster_3
20091,cluster_3
20093,cluster_5
20095,cluster_3
20097,cluster_5
20099,cluster_3
20101,cluster_3
20103,cluster_3
20105,cluster_3
20107,cluster_3
20109,cluster_3
20111,cluster_3
20113,cluster_3
20115,cluster_3
20117,cluster_3
20119,cluster_3
20121,cluster_3
20123,cluster_3
20125,cluster_3
20127,cluster_3
20129,cluster_3
20131,cluster_3
20133,cluster_3
20135,cluster_3
20137,cluster_3
20139,cluster_3
20141,cluster_3
20143,cluster_3
20145,cluster_3
20147,cluster_3
20149,cluster_3
20151,cluster_3
20153,cluster_3
20155,cluster_3
20157,cluster_3
20159,cluster_3
20161,cluster_3
20163,cluster_3
20165,cluster_3
20167,cluster_3
20169,cluster_3
20171,cluster_3
20173,cluster_3
20175,cluster_3
20177,cluster_3
20179,cluster_3
20181,cluster_5
20183,cluster_3
20185,cluster_3
20187,cluster_3
20189,cluster_3
20191,cluster_3
20193,cluster_3
20195,cluster_3
20197,cluster_3
20199,cluster_5
20201,cluster_3
20203,cluster_5
20205,cluster_3
20207,cluster_3
20209,cluster_3
21001,cluster_7
21003,cluster_7
21005,cluster_7
21007,cluster_7
21009,cluster_7
21011,cluster_7
21013,cluster_7
21015,cluster_7
21017,cluster_7
21019,cluster_7
21021,cluster_7
21023,cluster_7
21025,cluster_7
21027,cluster_7
21029,cluster_7
21031,cluster_7
21033,cluster_7
21035,cluster_7
21037,cluster_7
21039,cluster_7
21041,cluster_7
21043,cluster_7
21045,cluster_7
21047,cluster_7
21049,cluster_7
21051,cluster_7
21053,cluster_7
21055,cluster_7
21057,cluster_7
21059,cluster_7
21061,cluster_7
21063,cluster_7
21065,cluster_7
21067,cluster_7
21069,cluster_7
21071,cluster_7
21073,cluster_7
21075,cluster_7
21079,cluster_7
21081,cluster_7
21083,cluster_7
21085,cluster_7
21087,cluster_7
21089,cluster_7
21091,cluster_7
21093,cluster_7
21095,cluster_7
21097,cluster_7
21099,cluster_7
21101,cluster_7
21103,cluster_7
21105,cluster_7
21107,cluster_7
21109,cluster_7
21111,cluster_7
21113,cluster_7
21115,cluster_7
21117,cluster_7
21119,cluster_7
21121,cluster_7
21123,cluster_7
21125,cluster_7
21127,cluster_7
21129,cluster_7
21131,cluster_7
21135,cluster_7
21137,cluster_7
21139,cluster_7
21141,cluster_7
