,FIPS,RUCC_2013
0,1001,2
1,1003,3
2,1005,6
3,1007,1
4,1009,1
5,1011,6
6,1013,6
7,1015,3
8,1017,6
9,1019,6
10,1021,1
11,1023,9
12,1025,7
13,1027,9
14,1029,8
15,1031,4
16,1033,3
17,1035,7
18,1037,8
19,1039,6
20,1041,8
21,1043,4
22,1045,4
23,1047,4
24,1049,6
25,1051,2
26,1053,6
27,1055,3
28,1057,6
29,1059,6
30,1061,3
31,1063,8
32,1065,3
33,1067,3
34,1069,3
35,1071,6
36,1073,1
37,1075,8
38,1077,3
39,1079,3
40,1081,3
41,1083,2
42,1085,2
43,1087,6
44,1089,2
45,1091,7
46,1093,7
47,1095,4
48,1097,2
49,1099,7
50,1101,2
51,1103,3
52,1105,8
53,1107,3
54,1109,6
55,1111,6
56,1113,2
57,1115,1
58,1117,1
59,1119,8
60,1121,4
61,1123,6
62,1125,3
63,1127,1
64,1129,8
65,1131,9
66,1133,6
67,2013,9
68,2016,9
69,2020,2
70,2050,7
71,2060,9
72,2068,8
73,2070,9
74,2090,3
75,2100,9
76,2105,9
77,2110,5
78,2122,7
79,2130,7
80,2150,7
81,2164,9
82,2170,2
83,2180,7
84,2185,7
85,2188,7
86,2195,9
87,2198,9
88,2220,7
89,2230,9
90,2240,9
91,2261,9
92,2270,9
93,2275,9
94,2282,9
95,2290,9
96,4001,6
97,4003,3
98,4005,3
99,4007,4
100,4009,7
101,4011,7
102,4012,6
103,4013,1
104,4015,3
105,4017,4
106,4019,2
107,4021,1
108,4023,4
109,4025,3
110,4027,3
111,5001,6
112,5003,7
113,5005,7
114,5007,2
115,5009,7
116,5011,7
117,5013,9
118,5015,6
119,5017,7
120,5019,7
121,5021,7
122,5023,6
123,5025,3
124,5027,7
125,5029,6
126,5031,3
127,5033,2
128,5035,1
129,5037,6
130,5039,6
131,5041,6
132,5043,6
133,5045,2
134,5047,6
135,5049,9
136,5051,3
137,5053,2
138,5055,4
139,5057,6
140,5059,6
141,5061,6
142,5063,7
143,5065,9
144,5067,6
145,5069,3
146,5071,7
147,5073,8
148,5075,6
149,5077,7
150,5079,3
151,5081,3
152,5083,6
153,5085,2
154,5087,2
155,5089,9
156,5091,3
157,5093,4
158,5095,7
159,5097,8
160,5099,7
161,5101,9
162,5103,7
163,5105,2
164,5107,6
165,5109,9
166,5111,3
167,5113,7
168,5115,5
169,5117,8
170,5119,2
171,5121,7
172,5123,6
173,5125,2
174,5127,6
175,5129,9
176,5131,2
177,5133,6
178,5135,7
179,5137,9
180,5139,7
181,5141,8
182,5143,2
183,5145,4
184,5147,9
185,5149,6
186,6001,1
187,6003,8
188,6005,6
189,6007,3
190,6009,6
191,6011,6
192,6013,1
193,6015,7
194,6017,1
195,6019,2
196,6021,6
197,6023,5
198,6025,3
199,6027,7
200,6029,2
201,6031,3
202,6033,4
203,6035,7
204,6037,1
205,6039,3
206,6041,1
207,6043,8
208,6045,4
209,6047,2
210,6049,6
211,6051,7
212,6053,2
213,6055,3
214,6057,4
215,6059,1
216,6061,1
217,6063,7
218,6065,1
219,6067,1
220,6069,1
221,6071,1
222,6073,1
223,6075,1
224,6077,2
225,6079,2
226,6081,1
227,6083,2
228,6085,1
229,6087,2
230,6089,3
231,6091,8
232,6093,6
233,6095,2
234,6097,2
235,6099,2
236,6101,3
237,6103,4
238,6105,8
239,6107,2
240,6109,4
241,6111,2
242,6113,1
243,6115,3
244,8001,1
245,8003,7
246,8005,1
247,8007,7
248,8009,9
249,8011,7
250,8013,2
251,8014,1
252,8015,7
253,8017,9
254,8019,1
255,8021,9
256,8023,9
257,8025,8
258,8027,8
259,8029,6
260,8031,1
261,8033,9
262,8035,1
263,8037,5
264,8039,1
265,8041,2
266,8043,4
267,8045,5
268,8047,1
269,8049,7
270,8051,7
271,8053,9
272,8055,6
273,8057,9
274,8059,1
275,8061,9
276,8063,7
277,8065,6
278,8067,4
279,8069,2
280,8071,7
281,8073,8
282,8075,7
283,8077,3
284,8079,9
285,8081,7
286,8083,6
287,8085,4
288,8087,6
289,8089,6
290,8091,9
291,8093,1
292,8095,9
293,8097,7
294,8099,7
295,8101,3
296,8103,9
297,8105,7
298,8107,7
299,8109,9
300,8111,9
301,8113,9
302,8115,9
303,8117,5
304,8119,2
305,8121,9
306,8123,2
307,8125,7
308,9001,2
309,9003,1
310,9005,4
311,9007,1
312,9009,2
313,9011,2
314,9013,1
315,9015,2
316,10001,3
317,10003,1
318,10005,2
319,11001,1
320,12001,2
321,12003,1
322,12005,3
323,12007,6
324,12009,2
325,12011,1
326,12013,6
327,12015,3
328,12017,3
329,12019,1
330,12021,2
331,12023,4
332,12027,6
333,12029,6
334,12031,1
335,12033,2
336,12035,2
337,12037,6
338,12039,2
339,12041,2
340,12043,6
341,12045,3
342,12047,6
343,12049,6
344,12051,4
345,12053,1
346,12055,3
347,12057,1
348,12059,6
349,12061,3
350,12063,6
351,12065,2
352,12067,9
353,12069,1
354,12071,2
355,12073,2
356,12075,6
357,12077,8
358,12079,6
359,12081,2
360,12083,2
361,12085,2
362,12086,1
363,12087,4
364,12089,1
365,12091,3
366,12093,4
367,12095,1
368,12097,1
369,12099,1
370,12101,1
371,12103,1
372,12105,2
373,12107,4
374,12109,1
375,12111,2
376,12113,2
377,12115,2
378,12117,1
379,12119,3
380,12121,6
381,12123,6
382,12125,6
383,12127,2
384,12129,2
385,12131,3
386,12133,6
387,13001,7
388,13003,9
389,13005,7
390,13007,3
391,13009,4
392,13011,8
393,13013,1
394,13015,1
395,13017,7
396,13019,6
397,13021,3
398,13023,6
399,13025,3
400,13027,3
401,13029,2
402,13031,4
403,13033,2
404,13035,1
405,13037,8
406,13039,4
407,13043,7
408,13045,1
409,13047,2
410,13049,6
411,13051,2
412,13053,2
413,13055,6
414,13057,1
415,13059,3
416,13061,9
417,13063,1
418,13065,6
419,13067,1
420,13069,7
421,13071,6
422,13073,2
423,13075,6
424,13077,1
425,13079,3
426,13081,6
427,13083,2
428,13085,1
429,13087,6
430,13089,1
431,13091,6
432,13093,6
433,13095,3
434,13097,1
435,13099,6
436,13101,3
437,13103,2
438,13105,6
439,13107,7
440,13109,6
441,13111,8
442,13113,1
443,13115,3
444,13117,1
445,13119,8
446,13121,1
447,13123,6
448,13125,9
449,13127,3
450,13129,4
451,13131,6
452,13133,6
453,13135,1
454,13137,6
455,13139,3
456,13141,7
457,13143,1
458,13145,2
459,13147,6
460,13149,1
461,13151,1
462,13153,3
463,13155,7
464,13157,4
465,13159,1
466,13161,7
467,13163,6
468,13165,6
469,13167,7
470,13169,3
471,13171,1
472,13173,3
473,13175,5
474,13177,3
475,13179,3
476,13181,2
477,13183,3
478,13185,3
479,13187,6
480,13189,2
481,13191,3
482,13193,6
483,13195,3
484,13197,2
485,13199,1
486,13201,8
487,13205,6
488,13207,3
489,13209,9
490,13211,1
491,13213,3
492,13215,2
493,13217,1
494,13219,3
495,13221,3
496,13223,1
497,13225,3
498,13227,1
499,13229,6
500,13231,1
501,13233,4
502,13235,3
503,13237,6
504,13239,9
505,13241,7
506,13243,6
507,13245,2
508,13247,1
509,13249,8
510,13251,6
511,13253,6
512,13255,1
513,13257,7
514,13259,8
515,13261,6
516,13263,8
517,13265,8
518,13267,6
519,13269,8
520,13271,7
521,13273,3
522,13275,4
523,13277,5
524,13279,7
525,13281,9
526,13283,7
527,13285,4
528,13287,6
529,13289,3
530,13291,9
531,13293,6
532,13295,2
533,13297,1
534,13299,5
535,13301,8
536,13303,7
537,13305,6
538,13307,8
539,13309,9
540,13311,6
541,13313,3
542,13315,8
543,13317,6
544,13319,8
545,13321,3
546,15001,5
547,15003,2
548,15005,3
549,15007,5
550,15009,3
551,16001,2
552,16003,9
553,16005,3
554,16007,9
555,16009,6
556,16011,4
557,16013,7
558,16015,2
559,16017,6
560,16019,3
561,16021,7
562,16023,3
563,16025,9
564,16027,2
565,16029,6
566,16031,7
567,16033,9
568,16035,6
569,16037,8
570,16039,6
571,16041,3
572,16043,6
573,16045,2
574,16047,7
575,16049,6
576,16051,3
577,16053,7
578,16055,3
579,16057,4
580,16059,7
581,16061,8
582,16063,9
583,16065,4
584,16067,7
585,16069,3
586,16071,8
587,16073,2
588,16075,6
589,16077,6
590,16079,6
591,16081,9
592,16083,5
593,16085,8
594,16087,6
595,17001,5
596,17003,3
597,17005,1
598,17007,2
599,17009,7
600,17011,7
601,17013,1
602,17015,7
603,17017,6
604,17019,3
605,17021,6
606,17023,6
607,17025,7
608,17027,1
609,17029,5
610,17031,1
611,17033,7
612,17035,9
613,17037,1
614,17039,3
615,17041,6
616,17043,1
617,17045,6
618,17047,9
619,17049,7
620,17051,6
621,17053,3
622,17055,4
623,17057,6
624,17059,8
625,17061,6
626,17063,1
627,17065,7
628,17067,7
629,17069,9
630,17071,9
631,17073,2
632,17075,6
633,17077,3
634,17079,7
635,17081,7
636,17083,1
637,17085,6
638,17087,8
639,17089,1
640,17091,3
641,17093,1
642,17095,4
643,17097,1
644,17099,4
645,17101,7
646,17103,6
647,17105,4
648,17107,6
649,17109,5
650,17111,1
651,17113,3
652,17115,3
653,17117,1
654,17119,1
655,17121,4
656,17123,2
657,17125,6
658,17127,7
659,17129,3
660,17131,2
661,17133,1
662,17135,6
663,17137,4
664,17139,6
665,17141,4
666,17143,2
667,17145,6
668,17147,3
669,17149,7
670,17151,8
671,17153,8
672,17155,8
673,17157,6
674,17159,7
675,17161,2
676,17163,1
677,17165,6
678,17167,3
679,17169,7
680,17171,9
681,17173,6
682,17175,2
683,17177,4
684,17179,2
685,17181,6
686,17183,3
687,17185,7
688,17187,6
689,17189,6
690,17191,7
691,17193,6
692,17195,4
693,17197,1
694,17199,3
695,17201,2
696,17203,2
697,18001,6
698,18003,2
699,18005,3
700,18007,3
701,18009,6
702,18011,1
703,18013,1
704,18015,3
705,18017,4
706,18019,1
707,18021,3
708,18023,6
709,18025,8
710,18027,7
711,18029,1
712,18031,6
713,18033,4
714,18035,3
715,18037,5
716,18039,3
717,18041,6
718,18043,1
719,18045,6
720,18047,6
721,18049,7
722,18051,6
723,18053,4
724,18055,6
725,18057,1
726,18059,1
727,18061,1
728,18063,1
729,18065,4
730,18067,3
731,18069,6
732,18071,4
733,18073,1
734,18075,6
735,18077,6
736,18079,6
737,18081,1
738,18083,5
739,18085,4
740,18087,6
741,18089,1
742,18091,3
743,18093,6
744,18095,1
745,18097,1
746,18099,6
747,18101,7
748,18103,6
749,18105,3
750,18107,6
751,18109,1
752,18111,1
753,18113,6
754,18115,1
755,18117,6
756,18119,3
757,18121,6
758,18123,6
759,18125,8
760,18127,1
761,18129,2
762,18131,6
763,18133,1
764,18135,6
765,18137,6
766,18139,6
767,18141,2
768,18143,1
769,18145,1
770,18147,8
771,18149,6
772,18151,7
773,18153,3
774,18155,8
775,18157,3
776,18159,6
777,18161,1
778,18163,2
779,18165,3
780,18167,3
781,18169,6
782,18171,8
783,18173,2
784,18175,1
785,18177,5
786,18179,2
787,18181,6
788,18183,2
789,19001,8
790,19003,9
791,19005,6
792,19007,7
793,19009,8
794,19011,2
795,19013,3
796,19015,6
797,19017,3
798,19019,6
799,19021,7
800,19023,8
801,19025,9
802,19027,7
803,19029,6
804,19031,6
805,19033,5
806,19035,6
807,19037,6
808,19039,6
809,19041,7
810,19043,8
811,19045,4
812,19047,7
813,19049,2
814,19051,9
815,19053,9
816,19055,6
817,19057,5
818,19059,7
819,19061,3
820,19063,7
821,19065,6
822,19067,7
823,19069,7
824,19071,8
825,19073,6
826,19075,3
827,19077,2
828,19079,6
829,19081,7
830,19083,6
831,19085,2
832,19087,6
833,19089,6
834,19091,7
835,19093,8
836,19095,6
837,19097,6
838,19099,6
839,19101,7
840,19103,3
841,19105,2
842,19107,8
843,19109,7
844,19111,5
845,19113,2
846,19115,8
847,19117,6
848,19119,8
849,19121,2
850,19123,7
851,19125,6
852,19127,4
853,19129,2
854,19131,7
855,19133,6
856,19135,7
857,19137,6
858,19139,4
859,19141,7
860,19143,7
861,19145,6
862,19147,7
863,19149,3
864,19151,9
865,19153,2
866,19155,2
867,19157,7
868,19159,9
869,19161,9
870,19163,2
871,19165,6
872,19167,7
873,19169,3
874,19171,6
875,19173,9
876,19175,6
877,19177,9
878,19179,5
879,19181,2
880,19183,3
881,19185,9
882,19187,5
883,19189,7
884,19191,7
885,19193,3
886,19195,9
887,19197,7
888,20001,7
889,20003,6
890,20005,6
891,20007,9
892,20009,7
893,20011,6
894,20013,6
895,20015,2
896,20017,9
897,20019,8
898,20021,6
899,20023,9
900,20025,9
901,20027,6
902,20029,7
903,20031,6
904,20033,9
905,20035,4
906,20037,4
907,20039,9
908,20041,7
909,20043,3
910,20045,3
911,20047,9
912,20049,8
913,20051,5
914,20053,7
915,20055,5
916,20057,5
917,20059,6
918,20061,4
919,20063,9
920,20065,9
921,20067,7
922,20069,9
923,20071,9
924,20073,6
925,20075,9
926,20077,8
927,20079,2
928,20081,9
929,20083,9
930,20085,3
931,20087,3
932,20089,9
933,20091,1
934,20093,9
935,20095,2
936,20097,9
937,20099,7
938,20101,9
939,20103,1
940,20105,9
941,20107,1
942,20109,9
943,20111,4
944,20113,7
945,20115,6
946,20117,6
947,20119,9
948,20121,1
949,20123,7
950,20125,5
951,20127,8
952,20129,9
953,20131,6
954,20133,7
955,20135,9
956,20137,7
957,20139,3
958,20141,9
959,20143,9
960,20145,7
961,20147,7
962,20149,3
963,20151,7
964,20153,9
965,20155,4
966,20157,9
967,20159,7
968,20161,3
969,20163,9
970,20165,9
971,20167,7
972,20169,5
973,20171,7
974,20173,2
975,20175,5
976,20177,3
977,20179,9
978,20181,7
979,20183,9
980,20185,9
981,20187,9
982,20189,7
983,20191,2
984,20193,7
985,20195,9
986,20197,3
987,20199,9
988,20201,9
989,20203,9
990,20205,7
991,20207,9
992,20209,1
993,21001,7
994,21003,3
995,21005,6
996,21007,9
997,21009,6
998,21011,8
999,21013,7
1000,21015,1
1001,21017,2
1002,21019,2
1003,21021,7
1004,21023,1
1005,21025,7
1006,21027,8
1007,21029,1
1008,21031,3
1009,21033,7
1010,21035,7
1011,21037,1
1012,21039,9
1013,21041,6
1014,21043,6
1015,21045,9
1016,21047,2
1017,21049,2
1018,21051,7
1019,21053,9
1020,21055,7
1021,21057,9
1022,21059,3
1023,21061,3
1024,21063,9
1025,21065,6
1026,21067,2
1027,21069,7
1028,21071,7
1029,21073,4
1030,21075,9
1031,21077,1
1032,21079,6
1033,21081,1
1034,21083,7
1035,21085,6
1036,21087,8
1037,21089,2
1038,21091,3
1039,21093,3
1040,21095,7
1041,21097,6
1042,21099,8
1043,21101,2
1044,21103,1
1045,21105,9
1046,21107,5
1047,21109,9
1048,21111,1
1049,21113,2
1050,21115,7
1051,21117,1
1052,21119,9
1053,21121,7
1054,21123,3
1055,21125,5
1056,21127,6
1057,21129,9
1058,21131,9
1059,21133,9
1060,21135,8
1061,21137,7
1062,21139,9
1063,21141,6
1064,21143,9
1065,21145,5
1066,21147,9
1067,21149,3
1068,21151,4
1069,21153,9
1070,21155,7
1071,21157,7
1072,21159,9
1073,21161,6
1074,21163,3
1075,21165,9
1076,21167,6
1077,21169,9
1078,21171,8
1079,21173,6
1080,21175,9
1081,21177,6
1082,21179,6
1083,21181,8
1084,21183,6
1085,21185,1
1086,21187,8
1087,21189,9
1088,21191,1
1089,21193,7
1090,21195,7
1091,21197,6
1092,21199,5
1093,21201,8
1094,21203,7
1095,21205,7
1096,21207,9
1097,21209,2
1098,21211,1
1099,21213,6
1100,21215,1
1101,21217,7
1102,21219,8
1103,21221,2
1104,21223,1
1105,21225,6
1106,21227,3
1107,21229,9
1108,21231,7
1109,21233,8
1110,21235,7
1111,21237,9
1112,21239,2
1113,22001,2
1114,22003,6
1115,22005,2
1116,22007,6
1117,22009,6
1118,22011,6
1119,22013,6
1120,22015,2
1121,22017,2
1122,22019,3
1123,22021,8
1124,22023,3
1125,22025,9
1126,22027,6
1127,22029,7
1128,22031,2
1129,22033,2
1130,22035,7
1131,22037,2
1132,22039,6
1133,22041,7
1134,22043,3
1135,22045,2
1136,22047,2
1137,22049,6
1138,22051,1
1139,22053,6
1140,22055,2
1141,22057,3
1142,22059,6
1143,22061,4
1144,22063,2
1145,22065,7
1146,22067,6
1147,22069,6
1148,22071,1
1149,22073,3
1150,22075,1
1151,22077,2
1152,22079,3
1153,22081,8
1154,22083,6
1155,22085,6
1156,22087,1
1157,22089,1
1158,22091,2
1159,22093,1
1160,22095,1
1161,22097,4
1162,22099,2
1163,22101,4
1164,22103,1
1165,22105,3
1166,22107,9
1167,22109,3
1168,22111,3
1169,22113,2
1170,22115,5
1171,22117,6
1172,22119,2
1173,22121,2
1174,22123,9
1175,22125,2
1176,22127,6
1177,23001,3
1178,23003,7
1179,23005,2
1180,23007,6
1181,23009,6
1182,23011,4
1183,23013,7
1184,23015,8
1185,23017,6
1186,23019,3
1187,23021,8
1188,23023,2
1189,23025,6
1190,23027,6
1191,23029,7
1192,23031,2
1193,24001,3
1194,24003,1
1195,24005,1
1196,24009,1
1197,24011,6
1198,24013,1
1199,24015,1
1200,24017,1
1201,24019,6
1202,24021,1
1203,24023,6
1204,24025,1
1205,24027,1
1206,24029,6
1207,24031,1
1208,24033,1
1209,24035,1
1210,24037,3
1211,24039,2
1212,24041,6
1213,24043,2
1214,24045,2
1215,24047,2
1216,24510,1
1217,25001,3
1218,25003,3
1219,25005,1
1220,25007,7
1221,25009,1
1222,25011,4
1223,25013,2
1224,25015,2
1225,25017,1
1226,25019,7
1227,25021,1
1228,25023,1
1229,25025,1
1230,25027,2
1231,26001,9
1232,26003,7
1233,26005,4
1234,26007,7
1235,26009,9
1236,26011,8
1237,26013,9
1238,26015,2
1239,26017,3
1240,26019,9
1241,26021,3
1242,26023,6
1243,26025,3
1244,26027,2
1245,26029,7
1246,26031,7
1247,26033,7
1248,26035,6
1249,26037,2
1250,26039,7
1251,26041,5
1252,26043,7
1253,26045,2
1254,26047,7
1255,26049,2
1256,26051,6
1257,26053,7
1258,26055,5
1259,26057,6
1260,26059,6
1261,26061,5
1262,26063,7
1263,26065,2
1264,26067,4
1265,26069,7
1266,26071,7
1267,26073,4
1268,26075,3
1269,26077,2
1270,26079,7
1271,26081,2
1272,26083,9
1273,26085,9
1274,26087,1
1275,26089,9
1276,26091,4
1277,26093,1
1278,26095,7
1279,26097,7
1280,26099,1
1281,26101,7
1282,26103,5
1283,26105,7
1284,26107,6
1285,26109,7
1286,26111,3
1287,26113,9
1288,26115,3
1289,26117,2
1290,26119,9
1291,26121,3
1292,26123,6
1293,26125,1
1294,26127,6
1295,26129,9
1296,26131,9
1297,26133,9
1298,26135,9
1299,26137,7
1300,26139,2
1301,26141,7
1302,26143,7
1303,26145,3
1304,26147,1
1305,26149,4
1306,26151,6
1307,26153,7
1308,26155,4
1309,26157,6
1310,26159,2
1311,26161,2
1312,26163,1
1313,26165,7
1314,27001,8
1315,27003,1
1316,27005,6
1317,27007,7
1318,27009,3
1319,27011,9
1320,27013,3
1321,27015,6
1322,27017,2
1323,27019,1
1324,27021,9
1325,27023,7
1326,27025,1
1327,27027,3
1328,27029,8
1329,27031,9
1330,27033,7
1331,27035,4
1332,27037,1
1333,27039,3
1334,27041,6
1335,27043,6
1336,27045,3
1337,27047,7
1338,27049,4
1339,27051,9
1340,27053,1
1341,27055,3
1342,27057,7
1343,27059,1
1344,27061,6
1345,27063,7
1346,27065,6
1347,27067,4
1348,27069,9
1349,27071,6
1350,27073,9
1351,27075,6
1352,27077,9
1353,27079,1
1354,27081,9
1355,27083,7
1356,27085,6
1357,27087,8
1358,27089,8
1359,27091,7
1360,27093,6
1361,27095,1
1362,27097,6
1363,27099,4
1364,27101,9
1365,27103,3
1366,27105,7
1367,27107,8
1368,27109,3
1369,27111,6
1370,27113,6
1371,27115,6
1372,27117,6
1373,27119,3
1374,27121,8
1375,27123,1
1376,27125,8
1377,27127,7
1378,27129,8
1379,27131,4
1380,27133,6
1381,27135,7
1382,27137,2
1383,27139,1
1384,27141,1
1385,27143,1
1386,27145,3
1387,27147,5
1388,27149,7
1389,27151,7
1390,27153,6
1391,27155,9
1392,27157,3
1393,27159,7
1394,27161,6
1395,27163,1
1396,27165,6
1397,27167,6
1398,27169,4
1399,27171,1
1400,27173,9
1401,28001,5
1402,28003,7
1403,28005,8
1404,28007,6
1405,28009,1
1406,28011,7
1407,28013,9
1408,28015,9
1409,28017,7
1410,28019,9
1411,28021,8
1412,28023,9
1413,28025,7
1414,28027,7
1415,28029,2
1416,28031,8
1417,28033,1
1418,28035,3
1419,28037,9
1420,28039,6
1421,28041,8
1422,28043,7
1423,28045,2
1424,28047,2
1425,28049,2
1426,28051,6
1427,28053,6
1428,28055,8
1429,28057,7
1430,28059,2
1431,28061,9
1432,28063,8
1433,28065,8
1434,28067,4
1435,28069,9
1436,28071,4
1437,28073,3
1438,28075,5
1439,28077,8
1440,28079,6
1441,28081,5
1442,28083,5
1443,28085,6
1444,28087,5
1445,28089,2
1446,28091,6
1447,28093,1
1448,28095,7
1449,28097,7
1450,28099,7
1451,28101,7
1452,28103,7
1453,28105,5
1454,28107,6
1455,28109,6
1456,28111,3
1457,28113,6
1458,28115,7
1459,28117,7
1460,28119,6
1461,28121,2
1462,28123,6
1463,28125,8
1464,28127,2
1465,28129,8
1466,28131,6
1467,28133,7
1468,28135,7
1469,28137,1
1470,28139,6
1471,28141,8
1472,28143,1
1473,28145,6
1474,28147,9
1475,28149,4
1476,28151,5
1477,28153,7
1478,28155,9
1479,28157,8
1480,28159,7
1481,28161,7
1482,28163,2
1483,29001,7
1484,29003,3
1485,29005,9
1486,29007,6
1487,29009,6
1488,29011,6
1489,29013,1
1490,29015,7
1491,29017,3
1492,29019,3
1493,29021,3
1494,29023,5
1495,29025,1
1496,29027,3
1497,29029,7
1498,29031,3
1499,29033,6
1500,29035,9
1501,29037,1
1502,29039,6
1503,29041,9
1504,29043,2
1505,29045,9
1506,29047,1
1507,29049,1
1508,29051,3
1509,29053,6
1510,29055,6
1511,29057,8
1512,29059,2
1513,29061,8
1514,29063,3
1515,29065,7
1516,29067,6
1517,29069,7
1518,29071,1
1519,29073,6
1520,29075,8
1521,29077,2
1522,29079,7
1523,29081,7
1524,29083,6
1525,29085,8
1526,29087,8
1527,29089,6
1528,29091,7
1529,29093,7
1530,29095,1
1531,29097,3
1532,29099,1
1533,29101,4
1534,29103,9
1535,29105,6
1536,29107,1
1537,29109,6
1538,29111,9
1539,29113,1
1540,29115,7
1541,29117,6
1542,29119,2
1543,29121,7
1544,29123,6
1545,29125,8
1546,29127,5
1547,29129,9
1548,29131,6
1549,29133,6
1550,29135,3
1551,29137,9
1552,29139,6
1553,29141,8
1554,29143,7
1555,29145,3
1556,29147,6
1557,29149,9
1558,29151,3
1559,29153,9
1560,29155,7
1561,29157,6
1562,29159,4
1563,29161,5
1564,29163,6
1565,29165,1
1566,29167,2
1567,29169,5
1568,29171,9
1569,29173,9
1570,29175,6
1571,29177,1
1572,29179,9
1573,29181,9
1574,29183,1
1575,29185,8
1576,29186,6
1577,29187,4
1578,29189,1
1579,29195,6
1580,29197,9
1581,29199,9
1582,29201,4
1583,29203,9
1584,29205,9
1585,29207,6
1586,29209,6
1587,29211,9
1588,29213,4
1589,29215,9
1590,29217,7
1591,29219,1
1592,29221,6
1593,29223,9
1594,29225,2
1595,29227,9
1596,29229,6
1597,29510,1
1598,30001,7
1599,30003,6
1600,30005,9
1601,30007,9
1602,30009,3
1603,30011,9
1604,30013,3
1605,30015,8
1606,30017,7
1607,30019,9
1608,30021,7
1609,30023,7
1610,30025,9
1611,30027,7
1612,30029,5
1613,30031,5
1614,30033,9
1615,30035,7
1616,30037,3
1617,30039,8
1618,30041,7
1619,30043,9
1620,30045,8
1621,30047,6
1622,30049,5
1623,30051,9
1624,30053,7
1625,30055,9
1626,30057,9
1627,30059,9
1628,30061,8
1629,30063,3
1630,30065,8
1631,30067,7
1632,30069,9
1633,30071,9
1634,30073,7
1635,30075,9
1636,30077,6
1637,30079,9
1638,30081,6
1639,30083,7
1640,30085,7
1641,30087,9
1642,30089,8
1643,30091,9
1644,30093,5
1645,30095,8
1646,30097,9
1647,30099,8
1648,30101,7
1649,30103,8
1650,30105,7
1651,30107,9
1652,30109,9
1653,30111,3
1654,31001,4
1655,31003,9
1656,31005,9
1657,31007,9
1658,31009,9
1659,31011,9
1660,31013,7
1661,31015,9
1662,31017,9
1663,31019,4
